"Section","Collector","FileName","Status","Items","Duration","Error"
"Tenant","Tenant Information","01-Tenant-Info.csv","Complete","1","00:02",""
"Identity","User Summary","02-User-Summary.csv","Complete","1","00:00",""
"Identity","MFA Report","03-MFA-Report.csv","Complete","4","00:00",""
"Identity","Admin Roles","04-Admin-Roles.csv","Complete","5","00:00",""
"Identity","Conditional Access","05-Conditional-Access.csv","Complete","0","00:00",""
"Identity","App Registrations","06-App-Registrations.csv","Complete","0","00:00",""
"Identity","Password Policy","07-Password-Policy.csv","Complete","2","00:00",""
"Identity","Entra Security Config","07b-Entra-Security-Config.csv","Complete","37","00:10",""
"Identity","CA Policy Evaluation","07c-CA-Security-Config.csv","Complete","12","00:00",""
"Licensing","License Summary","08-License-Summary.csv","Complete","4","00:09",""
"Email","Mailbox Summary","09-Mailbox-Summary.csv","Complete","8","00:24",""
"Email","Mail Flow","10-Mail-Flow.csv","Complete","2","00:01",""
"Email","EXO Email Policies","11-EXO-Email-Policies.csv","Complete","3","00:01",""
"Email","EXO Security Config","11b-EXO-Security-Config.csv","Complete","12","00:03",""
"Email","DNS Security Config","12b-DNS-Security-Config.csv","Complete","3","00:00",""
"Email","DNS Email Authentication","12-DNS-Email-Authentication.csv","Complete","2","00:00",""
"Intune","Device Summary","13-Device-Summary.csv","Complete","0","00:01",""
"Intune","Compliance Policies","14-Compliance-Policies.csv","Complete","0","00:00",""
"Intune","Config Profiles","15-Config-Profiles.csv","Complete","0","00:00",""
"Security","Secure Score","16-Secure-Score.csv","Complete","1","00:00",""
"Security","Defender Policies","18-Defender-Policies.csv","Complete","2","00:00",""
"Security","Defender Security Config","18b-Defender-Security-Config.csv","Complete","28","00:01",""
"Security","DLP Policies","19-DLP-Policies.csv","Complete","45","00:43",""
"Security","Compliance Security Config","19b-Compliance-Security-Config.csv","Complete","4","00:12",""
"Collaboration","SharePoint & OneDrive","20-SharePoint-OneDrive.csv","Complete","1","00:00",""
"Collaboration","SharePoint Security Config","20b-SharePoint-Security-Config.csv","Complete","13","00:00",""
"Collaboration","Teams Access","21-Teams-Access.csv","Complete","1","00:01",""
"Collaboration","Teams Security Config","21b-Teams-Security-Config.csv","Complete","2","00:01",""
"Hybrid","Hybrid Sync","22-Hybrid-Sync.csv","Complete","1","00:00",""
